source,type,total_domains,unique_domains,overlapped_domains,unique_pct,overlapped_pct
block: AdGuard DNS filter,block,118511,154,118357,0.13,99.87
block: Adblock Warning Removal List,block,1834,644,1190,35.11,64.89
block: EasyList China,block,11495,6004,5491,52.23,47.77
block: EasyPrivacy,block,49624,4549,45075,9.17,90.83
block: Fanboy Annoyance List,block,28196,21661,6535,76.82,23.18
block: Fanboy Social Blocking List,block,5076,0,5076,0.00,100.00
block: HaGeZi Light (adblock),block,42431,18913,23518,44.57,55.43
block: StevenBlack Unified hosts,block,97125,10427,86698,10.74,89.26
block: anti-AD (AdGuard),block,95141,9999,85142,10.51,89.49
block: hBlock hosts_adblock,block,440043,218491,221552,49.65,50.35
direct: Loyalsoldier direct (jsdelivr),direct,588,0,588,0.00,100.00
direct: Loyalsoldier direct (raw),direct,588,0,588,0.00,100.00
